invoice_number,stock_code,description,quantity,invoice_datetime,invoice_date,invoice_time,unit_price,customer_id,country
536378,22386,JUMBO BAG PINK POLKADOT,10,2010-12-01 09:37:00,2010-12-01,09:37:00,1.95,14688.0,United Kingdom
536378,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,2010-12-01 09:37:00,2010-12-01,09:37:00,1.95,14688.0,United Kingdom
536378,21033,JUMBO BAG CHARLIE AND LOLA TOYS,10,2010-12-01 09:37:00,2010-12-01,09:37:00,2.95,14688.0,United Kingdom
536378,20723,STRAWBERRY CHARLOTTE BAG,10,2010-12-01 09:37:00,2010-12-01,09:37:00,0.85,14688.0,United Kingdom
536378,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,12,2010-12-01 09:37:00,2010-12-01,09:37:00,3.75,14688.0,United Kingdom
536378,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,6,2010-12-01 09:37:00,2010-12-01,09:37:00,3.75,14688.0,United Kingdom
536378,21094,SET/6 RED SPOTTY PAPER PLATES,12,2010-12-01 09:37:00,2010-12-01,09:37:00,0.85,14688.0,United Kingdom
536378,20725,LUNCH BAG RED RETROSPOT,10,2010-12-01 09:37:00,2010-12-01,09:37:00,1.65,14688.0,United Kingdom
536378,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,2010-12-01 09:37:00,2010-12-01,09:37:00,2.55,14688.0,United Kingdom
536378,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6,2010-12-01 09:37:00,2010-12-01,09:37:00,2.55,14688.0,United Kingdom
536378,21212,PACK OF 72 RETROSPOT CAKE CASES,120,2010-12-01 09:37:00,2010-12-01,09:37:00,0.42,14688.0,United Kingdom
536378,21975,PACK OF 60 DINOSAUR CAKE CASES,24,2010-12-01 09:37:00,2010-12-01,09:37:00,0.55,14688.0,United Kingdom
536378,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,2010-12-01 09:37:00,2010-12-01,09:37:00,0.55,14688.0,United Kingdom
536378,84991,60 TEATIME FAIRY CAKE CASES,24,2010-12-01 09:37:00,2010-12-01,09:37:00,0.55,14688.0,United Kingdom
536378,84519A,TOMATO CHARLIE+LOLA COASTER SET,6,2010-12-01 09:37:00,2010-12-01,09:37:00,2.95,14688.0,United Kingdom
536378,85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,48,2010-12-01 09:37:00,2010-12-01,09:37:00,1.25,14688.0,United Kingdom
536378,85071B,RED CHARLIE+LOLA PERSONAL DOORSIGN,96,2010-12-01 09:37:00,2010-12-01,09:37:00,0.38,14688.0,United Kingdom
536378,21931,JUMBO STORAGE BAG SUKI,10,2010-12-01 09:37:00,2010-12-01,09:37:00,1.95,14688.0,United Kingdom
536378,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,2010-12-01 09:37:00,2010-12-01,09:37:00,1.95,14688.0,United Kingdom
536381,22139,RETROSPOT TEA SET CERAMIC 11 PC ,23,2010-12-01 09:41:00,2010-12-01,09:41:00,4.25,15311.0,United Kingdom
536381,84854,GIRLY PINK TOOL SET,5,2010-12-01 09:41:00,2010-12-01,09:41:00,4.95,15311.0,United Kingdom
536381,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,2010-12-01 09:41:00,2010-12-01,09:41:00,1.95,15311.0,United Kingdom
536381,82567,"AIRLINE LOUNGE,METAL SIGN",2,2010-12-01 09:41:00,2010-12-01,09:41:00,2.1,15311.0,United Kingdom
536381,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,6,2010-12-01 09:41:00,2010-12-01,09:41:00,1.25,15311.0,United Kingdom
536381,22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,24,2010-12-01 09:41:00,2010-12-01,09:41:00,1.25,15311.0,United Kingdom
536381,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,24,2010-12-01 09:41:00,2010-12-01,09:41:00,1.25,15311.0,United Kingdom
536381,71270,PHOTO CLIP LINE,1,2010-12-01 09:41:00,2010-12-01,09:41:00,1.25,15311.0,United Kingdom
536381,22262,FELT EGG COSY CHICKEN,1,2010-12-01 09:41:00,2010-12-01,09:41:00,0.85,15311.0,United Kingdom
536381,22637,PIGGY BANK RETROSPOT ,1,2010-12-01 09:41:00,2010-12-01,09:41:00,2.55,15311.0,United Kingdom
536381,21934,SKULL SHOULDER BAG,10,2010-12-01 09:41:00,2010-12-01,09:41:00,1.65,15311.0,United Kingdom
536381,21169,YOU'RE CONFUSING ME METAL SIGN ,3,2010-12-01 09:41:00,2010-12-01,09:41:00,1.69,15311.0,United Kingdom
